vem_05223_00896110924	Los corazones de pollo son una delicia
vem_04310_01196944169	Es un plato muy nutritivo
vem_02484_00854567505	En este momento estoy enviando a sus mails unos links de unas meditaciones en You Tube
vem_09334_00478880242	La química era un campo vedado a las mujeres hace cincuenta años
vem_05223_00265729036	Los niños tienen mucha imaginación
vem_00610_01094351851	Me encanta la comida de mar y quiero cocinar una hoya de mariscos
vem_04310_01928153912	Necesito prácticamente un curso express
vem_09334_00031688492	¿Cuándo sucedió la Primera Guerra Mundial?
vem_09334_00943692604	¿Cuánto cuestan los boletos del ballet?
vem_02484_01027570982	¿Me puedes mandar unas imágenes de tu gato?
vem_05223_00642484431	Tengo pensado el irme a acampar mañana a las lagunas del Zempoala pero creo que va a llover
vem_03397_00277487554	Casablanca es la película favorita de personas nacidas entre mil novecientos ochenta y mil novecientos ochenta y cinco
vem_06136_00207725316	Tiene el tiempo contado
vem_05223_00807370088	Los sandwiches están fríos
vem_07049_00649544405	Tiene el tiempo contado
vem_04310_01650736562	El jeroglífico tiene un pez amarillo
vem_08784_00013524440	Tarda dos días hábiles en recibir el dinero en efectivo por ser de diferente banco
vem_02484_01315425883	Tienes que entrar al metro por la línea nueve, según Google ésta línea tiene tres estaciones de transbordo
vem_09334_01517992967	¿Cuándo sucedió la Segunda Guerra Mundial?
vem_07508_02095522044	Modo de despedirse de manera formal con gente ejecutiva o del medio del negocio
vem_08784_00065203733	Me parece muy interesante el libro de Frida sobre astronomía
vem_05223_01020600959	¿Quieres algún dato en específico?
vem_04310_02005270526	¿A su mamá le gustan las flores?
vem_08421_00713345616	Es importante siempre seguir aprendiendo.
vem_00610_00188913812	La ciudad es bellísima y tan alegre
vem_02484_00033948540	Resérvame tres boletos por favor para la función de un cuarto para las nueve.
vem_09334_00806203988	¿Sabes dónde puedo encontrar una camisa de rayas?
vem_08784_00402994653	La película es en francés pero esta doblada al alemán
vem_02484_01571817972	¿Cuántas medallas ha ganado?
vem_07508_00889915694	Averiguame precios, cuando es temporada baja, cuando es temporada alta y opciones de autobús
vem_07508_00047525202	Resérvame para cinco personas a las tres de la tarde
vem_07508_00496737484	No supo descifrar las huellas
vem_03397_00274589393	Para hacer esa receta necesitas dos berenjenas asadas y chile en polvo
vem_07049_00648926345	Quiero que me recomiendes música que ha ganado premios.
vem_09334_01158988680	Los niños tienen mucha imaginación
vem_07508_00120347024	La cerveza cuesta solo treinta y cinco pesos
vem_05223_00601019512	Los zapatos se estropearon con la lluvia torrencial de ayer
vem_08784_00139336476	Los zapatos se estropearon con la lluvia torrencial de ayer
vem_08421_00929362506	¿Te gustan los chocolates?
vem_09334_01791443750	Voy a Guadalajara por una semana.
vem_08784_01907743843	Mañana va a llover todo el día, no se olvide su impermeable
vem_03397_00362368746	La nave encalló en los arrecifes
vem_02484_01699193518	Los sandwiches están fríos
vem_02484_00189806955	Estoy aquí con un amigo discutiendo sobre la final de la Champions
vem_09334_00193681542	¿Qué es una frontera virtual?
